lon,lat
23.602150,120.579408
23.601931,120.579572
23.601807,120.579434
23.602262,120.581095
23.602596,120.580855
23.602597,120.581198
23.602356,120.581536
23.602450,120.581935
23.602498,120.582068
23.602678,120.581773
23.603038,120.581380
23.600403,120.583532
23.599869,120.583364
23.600067,120.583561
23.599789,120.584032
23.599442,120.583985
23.599167,120.583866
23.599535,120.583418
23.600852,120.584323
23.600653,120.585425
23.599978,120.585309
23.600174,120.585538
23.600203,120.585668
23.599435,120.585331
23.599472,120.585045
23.599182,120.586417
23.599366,120.586684
23.599426,120.586865
23.597423,120.585840
23.597347,120.587163
23.597355,120.587659
23.597161,120.587891
23.598480,120.586394
23.598300,120.586415
23.598007,120.586528
23.597915,120.586666
23.597824,120.586896
23.597747,120.587127
23.598755,120.586944
23.597275,120.588829
23.596939,120.589947
23.596320,120.590074
23.595810,120.590856
23.596295,120.591561
23.596405,120.591568
23.595911,120.591898
23.595581,120.591861
23.595400,120.591699
23.595291,120.591392
23.595016,120.591278
23.594844,120.591110
23.594352,120.591385
23.594256,120.591556
23.593834,120.591631
23.593695,120.591780
23.593531,120.592082
23.593388,120.592234
23.594571,120.591224
23.594571,120.591224
23.594785,120.590778
23.594589,120.590889
23.594681,120.590504
23.594536,120.590515
23.594453,120.590101
23.594299,120.589842
23.593949,120.589793
23.593948,120.590194
23.593898,120.590375
23.596085,120.593305
23.596097,120.593359
23.596157,120.593578
23.596325,120.593839
23.596467,120.594202
23.594955,120.595882
23.594472,120.597553
23.594188,120.597385
23.594017,120.597251
23.593860,120.597027
23.593491,120.596706
23.594378,120.597519
23.593964,120.598792
23.593642,120.599269
23.593308,120.601759
23.592873,120.600885
23.592834,120.601269
23.592529,120.601130
23.592178,120.601181
23.591943,120.601509
23.591971,120.602014
23.592068,120.601953
23.591785,120.602347
23.591768,120.602709
23.589715,120.606299
23.589127,120.606186
23.588745,120.606348
23.587264,120.606573
23.586828,120.606031
23.586609,120.605544
23.586343,120.604760
23.586345,120.604396
23.586274,120.603937
23.586356,120.603300
23.586258,120.602943
23.586306,120.602501
23.586411,120.602265
23.586714,120.602232
23.586919,120.602520
23.587204,120.602618
23.587213,120.602754
23.585987,120.602610
23.586061,120.603241
23.585965,120.603476
23.585862,120.603694
23.586044,120.602829
23.585876,120.602103
23.585789,120.602811
23.585759,120.602934
23.585632,120.602947
23.585417,120.603216
23.585388,120.603465
23.585337,120.604025
23.585367,120.604199
23.585334,120.604342
23.585223,120.604381
23.585235,120.604423
23.585175,120.604729
23.585617,120.602826
23.585388,120.602969
23.585510,120.602508
23.585368,120.602554
23.585175,120.602660
23.584624,120.602606
23.584473,120.602441
23.585369,120.602342
23.585022,120.602395
23.584762,120.602334
23.585175,120.602254
23.585233,120.602185
23.585125,120.601948
23.584771,120.601858
